observer,image_id,filename,sha256
OBSERVER_1,01,01_manual1.gif,ec671b81cd5b7d5941cf153e36b69c706c9728929ae698953fd714594b71ef23
OBSERVER_1,02,02_manual1.gif,59c1afdc973f78231f1e1f02f7fd337f61f5b5044291a851807a5fa66add619f
OBSERVER_1,03,03_manual1.gif,3cb86c2f17f55a46eb46fc4621080b4b472cafa809cb8bb2da2e685e236662cc
OBSERVER_1,04,04_manual1.gif,e8a1e40c9769c36b3d4e7cb31abe01107b4326843b3b982f6320f568d784588f
OBSERVER_1,05,05_manual1.gif,61aae2d48348620de875afb98710d14a96cd0f7e9879ee01cf1264a18ba332ed
OBSERVER_1,06,06_manual1.gif,186fb8e03fadf7f0e8fb08104850eb438874db9467b952ce70afe963db46fd52
OBSERVER_1,07,07_manual1.gif,720ffba4a76f48011768cd91683705e55e24649e38c93d58077c564b61ef4a9b
OBSERVER_1,08,08_manual1.gif,9dae1ad37142b657a287bf6cdee89c09c28564584a32579c22077769671afe9c
OBSERVER_1,09,09_manual1.gif,8fb2f36b525567d9142a35eed60584d61dd016328fa1858285c9edb83e2db961
OBSERVER_1,10,10_manual1.gif,97c04bd133ff3c0b53d78a12fa09ff711a3102008fe810968a6dd28f03201f9e
OBSERVER_1,11,11_manual1.gif,db22b561a304d1c206a9f29e4800499dcd301d388e9c24cfcef154b714e65720
OBSERVER_1,12,12_manual1.gif,9fd9429017c281fa7db009a4f2b7a937ef74ee53f08145651b49da6b3eb23598
OBSERVER_1,13,13_manual1.gif,080fcee21b7ae3a6590a7727cbb8e5ce96380de42b71f5056a5e9149cf4b6942
OBSERVER_1,14,14_manual1.gif,c78e2f0ee794feae170925dca78af27cbf455870c1ba0444450344a0557be276
OBSERVER_1,15,15_manual1.gif,f45d0eeb55b53540a549eb46e8aada3e816e4da777a0e512603cecda9288e073
OBSERVER_1,16,16_manual1.gif,c464c442113328970b9e0b5317140aec6ce1013eb3079e7153fdf9f269a08869
OBSERVER_1,17,17_manual1.gif,acd58b274aeba2b4acd95934b7ff95e10a02da233c4635f5de68f1b057faca5c
OBSERVER_1,18,18_manual1.gif,7e926fb6e5e8084a2c0cd5129df1e6a2ecb1139af2598b053bd1b0d06603d48f
OBSERVER_1,19,19_manual1.gif,2144050bd82590f9d4d0eabc684e10e2a63ca8fa43500a399017a2a01340c601
OBSERVER_1,20,20_manual1.gif,e76499d4a2308bf2056576acc9fd27c3a653c7f55b29bedcc71d0a2d44ec2892
OBSERVER_2,01,01_manual2.gif,c6996a93bd9c247688589bc5d8e1747ed1c316c5e2f93af982574f538b0d96a1
OBSERVER_2,02,02_manual2.gif,53481ccda26241897e8d4654d15beb78e2f800f408c4ea7a0b2773a918dea681
OBSERVER_2,03,03_manual2.gif,55d0f12258c16a927c04b95877573f7c5d2484dd7ee372796ed9c7139827c1f5
OBSERVER_2,04,04_manual2.gif,0852a129da71f1f48d9179ac516861261126e06e53444b143fbcb3ca9db84de0
OBSERVER_2,05,05_manual2.gif,2fbe2f8fe165138ce1af95819ddc76e7028770fde19a5a34e50f686a3e6ab786
OBSERVER_2,06,06_manual2.gif,8b74e0f9bc771c483bde980f15b881438cb0936152429fc2dec5c17c55ad5632
OBSERVER_2,07,07_manual2.gif,24fe226ef44af71b52eb0b057fdc2fb20dfab606236b27b5421421e9d149f3f2
OBSERVER_2,08,08_manual2.gif,0b0a3163e2758cc9d78ea836f973823129deddc3ded76a09f9430656cc682d55
OBSERVER_2,09,09_manual2.gif,044954962cb1c5891118ec3bb65cce51d26ae38d8525b4ddfdaab1920a774460
OBSERVER_2,10,10_manual2.gif,3316e74c5ff126f5c86bf2e977bf00d019316345de971a710d6694d68061fef0
OBSERVER_2,11,11_manual2.gif,84b1708acb6a358461b8a136264253149376687c550789c3e6c8f8e03b43ff64
OBSERVER_2,12,12_manual2.gif,3d964e3654530031c8d7e128b5a1a9a444fb6473fb736534da782c22f9d1802d
OBSERVER_2,13,13_manual2.gif,6948eb7661d2ac28b6d0e6e283d414edcf9c90b07c5e3b161d776b3abf15d534
OBSERVER_2,14,14_manual2.gif,a96297e074e2ced99512e98dcf65e412124df189ae555a023ab87e4c9b4ab983
OBSERVER_2,15,15_manual2.gif,0f10de87131b510d5d11cf01a42062e9c4164d674516891126fe9fdec3c5314f
OBSERVER_2,16,16_manual2.gif,379f78ad454658497f87b2fb40996d7b5fa4813adaa2cfffa8e8ea3df0a5777c
OBSERVER_2,17,17_manual2.gif,b4b100bf97a8b888488c214cdc5595d576bee874cf437fc532944e55a684717f
OBSERVER_2,18,18_manual2.gif,ebd57e7c9bc02ec1349efcaa58c41d43a94b70e26804b334c04cee2275fcd92a
OBSERVER_2,19,19_manual2.gif,232d57eea39e196d7fa4d13b0b93ff132abdea727657e30f20b09561684ec199
OBSERVER_2,20,20_manual2.gif,4a3968d0d8cecfbf2a37f6ebdd64cff1813de9e3d16f335823484cc5ded8fa5d
